eid,doi,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,coverDate,coverDisplayDate,publicationName,issn,source_id,aggregationType,authkeywords,citedby_count,openaccess
2-s2.0-105001882342,10.1108/978-1-83608-756-420251005,Exploring Blockchain Adoption Barriers: A Systematic Literature Review,ch,Book Chapter,Ali T.,British University in Dubai,Dubai,United Arab Emirates,2025-01-01,1 January 2025,"Technological Horizons: Insights for Accounting, Auditing and Internal Control in Emerging Markets",,21101286874,Book,,0,0
2-s2.0-105000682803,10.4324/9781003598671,"Commonsense Methods for Students with Special Needs and Disabilities, Ninth Edition",bk,Book,Westwood P.,,,,2025-01-01,1 January 2025,Commonsense Methods for Students with Special Needs and Disabilities,,21101284144,Book,,0,0
2-s2.0-105000225265,10.1108/MIP-08-2023-0394,Viral marketing: a systematic literature review and future research agenda,re,Review,Kaur D.,Netaji Subhas University of Technology,New Delhi,India,2025-01-01,2025,Marketing Intelligence and Planning,02634503,144670,Journal,,0,0
2-s2.0-85213821499,10.4324/9781003387633,"Augmentative and alternative communication for children, adolescents and adults with developmental disorders",bk,Book,von Tetzchner S.,Universitetet i Oslo,Oslo,Norway,2024-12-31,31 December 2024,"Augmentative and Alternative Communication for Children, Adolescents and Adults with Developmental Disorders",,21101267118,Book,,0,0
2-s2.0-85214453799,,European Perspectives on World Order,bk,Book,Alting von Geusau F.A.M.,,,,2024-12-30,30 December 2024,European Perspectives on World Order,,21101268372,Book,,0,0
2-s2.0-85211300202,10.17226/27317,Constructing Valid Geospatial Tools for Environmental Justice,bk,Book,,,,,2024-12-22,22 December 2024,Constructing Valid Geospatial Tools for Environmental Justice,,21101268389,Book,,1,0
2-s2.0-85217009351,10.1145/3700446,Systematic Review of Social Robots for Health and Wellbeing: A Personal Healthcare Journey Lens,ar,Article,Ghafurian M.,University of Waterloo,Waterloo,Canada,2024-12-21,21 December 2024,ACM Transactions on Human-Robot Interaction,,21100979314,Journal,,0,1
2-s2.0-105005124908,10.4018/979-8-3693-6880-0,Cultivating creativity and navigating talent management in academia,bk,Book,Kayyali M.,HE Higher Education Ranking,,Syrian Arab Republic,2024-12-02,2 December 2024,Cultivating Creativity and Navigating Talent Management in Academia,,21101295566,Book,,0,0
2-s2.0-85213407835,10.3390/smartcities7060147,Bridging Community Engagement and Technological Innovation for Creating Smart and Resilient Cities: A Systematic Literature Review,re,Review,Kangana N.,University of Moratuwa,Moratuwa,Sri Lanka,2024-12-01,December 2024,Smart Cities,,21101068929,Journal,,4,1
2-s2.0-85208703359,10.4324/9781003457077,Realist evaluation: Principles and practice,bk,Book,Manzano A.,University of Leeds,Leeds,United Kingdom,2024-11-29,29 November 2024,Realist Evaluation: Principles and Practice,,21101258004,Book,,0,0
2-s2.0-85206155418,10.1891/9780826148070,Health Services Management: Competencies and Careers,bk,Book,Pruitt Z.,University of South Florida Health,Tampa,United States,2024-11-15,15 November 2024,Health Services Management: Competencies and Careers,,21101253324,Book,,0,0
2-s2.0-85207462203,10.1002/ett.5037,"An extensive multivocal literature review of blockchain technology: Evolution, challenges, platforms, security, and interoperability",ar,Article,Monika ,Punjab Engineering College (Deemed to be University),Chandigarh,India,2024-11-01,November 2024,Transactions on Emerging Telecommunications Technologies,,21100389313,Journal,,0,0
2-s2.0-85201667876,10.17226/27429,A new vision for high-quality preschool curriculum,bk,Book,Bredekamp S.,,,,2024-10-25,25 October 2024,A New Vision for High-Quality Preschool Curriculum,,21101252779,Book,,4,0
2-s2.0-85207218088,10.1093/oso/9780197795156.001.0001,Not your parents' politics: Understanding young people's political expression on social media,bk,Book,Kligler-Vilenchik N.,Hebrew University of Jerusalem,Jerusalem,Israel,2024-10-24,24 October 2024,Not Your Parents' Politics: Understanding Young People's Political Expression on Social Media,,21101255137,Book,,4,0
2-s2.0-85208566769,10.1145/3687299,"A Systematic Literature Review on the Influence of Enhanced Developer Experience on Developers' Productivity: Factors, Practices, and Recommendations",re,Review,Razzaq A.,Taighde Éireann - Research Ireland;University of Limerick,Dublin;Limerick,Ireland;Ireland,2024-10-07,7 October 2024,ACM Computing Surveys,03600300,23038,Journal,,4,1
2-s2.0-85183993761,10.1016/j.ijinfomgt.2023.102750,"“Real impact”: Challenges and opportunities in bridging the gap between research and practice – Making a difference in industry, policy, and society",ed,Editorial,Dwivedi Y.K.,School of Management;Symbiosis International (Deemed University),Swansea;Pune,United Kingdom;India,2024-10-01,October 2024,International Journal of Information Management,02684012,15631,Journal,,34,0
2-s2.0-85207194883,10.4018/978-1-6684-7051-0,Natural resource management issues in human-influenced landscapes,bk,Book,Hemachandra D.,University of Peradeniya,Peradeniya,Sri Lanka,2024-08-22,22 August 2024,Natural Resource Management Issues in Human-Influenced Landscapes,,21101255006,Book,,0,0
2-s2.0-85204337137,10.4018/979-8-3693-8217-2,Transdisciplinary teaching and technological integration for improved learning: Case studies and practical approaches,bk,Book,Kumar R.,Sharda University,Greater Noida,India,2024-08-14,14 August 2024,Transdisciplinary Teaching and Technological Integration for Improved Learning: Case Studies and Practical Approaches,,21101248952,Book,,0,0
2-s2.0-85204578383,10.4018/979-8-3693-3322-8,Integrating RegTech solutions for industry 4.0,bk,Book,Gupta S.,Universal AI University,Karjat,India,2024-07-22,22 July 2024,Integrating RegTech Solutions for Industry 4.0,,21101249248,Book,,0,0
2-s2.0-85201737695,10.4018/979-8-3693-3172-9,AI and data engineering solutions for effective marketing,bk,Book,Alla L.,Université Sidi Mohamed Ben Abdellah,Fez,Morocco,2024-07-17,17 July 2024,AI and Data Engineering Solutions for Effective Marketing,,21101243584,Book,,0,0
2-s2.0-85201346330,10.4018/979-8-3693-3003-6,Disruptive technologies in education and workforce development,bk,Book,Delello J.A.,University of Texas at Tyler,Tyler,United States,2024-07-17,17 July 2024,Disruptive Technologies in Education and Workforce Development,,21101242633,Book,,1,0
2-s2.0-85200702909,10.4018/979-8-3693-3045-6,Teaching and assessment in the era of education 5.0,bk,Book,Chemsi G.,Hassan II University of Casablanca,Casablanca,Morocco,2024-07-17,17 July 2024,Teaching and Assessment in the Era of Education 5.0,,21101240981,Book,,0,0
2-s2.0-85204071658,10.4337/9781035300921,"Dictionary of privacy, data protection and information security",bk,Book,Elliot M.,Faculty of Humanities,Manchester,United Kingdom,2024-07-16,16 July 2024,"Dictionary of Privacy, Data Protection and Information Security",,21101248575,Book,,1,0
2-s2.0-85201742377,,Compilation of references,ch,Book Chapter,,,,,2024-07-16,16 July 2024,"Cultural, Gastronomy, and Adventure Tourism Development",,21101243586,Book,,0,0
2-s2.0-85201603858,10.2166/9781789063059,"Asset Management of Urban Drainage Systems: if anything exciting happens, we've done it wrong!",bk,Book,Cherqui F.,,,,2024-06-15,15 June 2024,"Asset Management of Urban Drainage Systems: if anything exciting happens, we've done it wrong!",,21101243439,Book,,1,0
2-s2.0-85188530365,10.1016/j.infsof.2024.107432,Agile software development projects–Unveiling the human-related critical success factors,ar,Article,Barros L.,"NOVA Information Management School, Universidade Nova de Lisboa",Lisbon,Portugal,2024-06-01,June 2024,Information and Software Technology,09505849,18732,Journal,,18,1
2-s2.0-85170850509,10.1002/smr.2607,Qualitative software engineering research: Reflections and guidelines,re,Review,Lenberg P.,Göteborgs Universitet,Gothenburg,Sweden,2024-06-01,June 2024,Journal of Software: Evolution and Process,,21100205112,Journal,,9,0
2-s2.0-85196465421,10.4018/979-8-3693-3318-1,Practical approaches to agile project management,bk,Book,Misra S.,Institutt for energiteknikk,Skedsmokorset,Norway,2024-05-30,30 May 2024,Practical Approaches to Agile Project Management,,21101229595,Book,,0,0
2-s2.0-85202571605,10.4018/979-8-3693-2721-0,"Challenges, strategies, and resiliency in disaster and risk management",bk,Book,Mbandlwa Z.,Durban University of Technology,Durban,South Africa,2024-05-28,28 May 2024,"Challenges, Strategies, and Resiliency in Disaster and Risk Management",,21101245232,Book,,0,0
2-s2.0-85195760990,10.4018/9798369355930,"Improving library systems with AI: Applications, approaches, and bibliometric insights",bk,Book,Senthilkumar K.R.,Sri Krishna Arts and Science College,Coimbatore,India,2024-05-17,17 May 2024,"Improving Library Systems with AI: Applications, Approaches, and Bibliometric Insights",,21101227242,Book,,0,0
2-s2.0-85188753526,10.1016/j.scitotenv.2024.171520,Adaptive strategies to enhance water security and resilience in low- and middle-income countries: A critical review,re,Review,Lebu S.,UNC Gillings School of Global Public Health,Chapel Hill,United States,2024-05-15,15 May 2024,Science of the Total Environment,00489697,25349,Journal,,20,0
2-s2.0-85195738413,10.4018/9798369336090,Recent trends and future direction for data analytics,bk,Book,Kumari A.,Nirma University,Ahmedabad,India,2024-05-14,14 May 2024,Recent Trends and Future Direction for Data Analytics,,21101227300,Book,,1,0
2-s2.0-85193515548,10.1039/d4se00392f,Heterogeneous preferences for living in a hydrogen home: an advanced multigroup analysis,ar,Article,Gordon J.A.,Cranfield University,Cranfield,United Kingdom,2024-05-14,14 May 2024,Sustainable Energy and Fuels,,21100873858,Journal,,2,0
2-s2.0-85194024726,10.4018/979-8-3693-1798-3,Utilizing AI tools in academic research writing,bk,Book,Srivastava A.P.,"Symbiosis Institute of Business Management, Pune",Pune,India,2024-05-02,2 May 2024,Utilizing AI Tools in Academic Research Writing,,21101224676,Book,,3,0
2-s2.0-85186599305,10.1016/j.jss.2024.112011,A/B testing: A systematic literature review,ar,Article,Quin F.,KU Leuven,Leuven,Belgium,2024-05-01,May 2024,Journal of Systems and Software,01641212,19309,Journal,,17,1
2-s2.0-85185399331,10.1016/j.infsof.2024.107423,Model driven engineering for machine learning components: A systematic literature review,re,Review,Naveed H.,Monash University,Melbourne,Australia,2024-05-01,May 2024,Information and Software Technology,09505849,18732,Journal,,12,1
2-s2.0-85175571986,10.1016/j.ese.2023.100330,Smarter eco-cities and their leading-edge artificial intelligence of things solutions for environmental sustainability: A comprehensive systematic review,re,Review,Bibri S.E.,École Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,2024-05-01,May 2024,Environmental Science and Ecotechnology,,21101042161,Journal,,228,1
2-s2.0-85183317493,10.1007/s12152-024-09543-8,Safeguarding Users of Consumer Mental Health Apps in Research and Product Improvement Studies: an Interview Study,ar,Article,Verbeke K.,KU Leuven,Leuven,Belgium,2024-04-01,April 2024,Neuroethics,18745490,14300154705,Journal,,0,0
2-s2.0-85191492887,10.4018/9798369319420,Strengthening sustainable digitalization of Asian economy and society,bk,Book,de Pablos P.O.,Universidad de Oviedo,Oviedo,Spain,2024-03-27,27 March 2024,Strengthening Sustainable Digitalization of Asian Economy and Society,,21101216766,Book,,2,0
2-s2.0-85191464238,10.4018/9798369318867,Applications of synthetic high dimensional data,bk,Book,Sobczak-Michalowska M.,University of Economics,Sopot,Poland,2024-03-25,25 March 2024,Applications of Synthetic High Dimensional Data,,21101216842,Book,,0,0
2-s2.0-85190865711,10.4018/979-8-3693-3661-8,Transformative approaches to patient literacy and healthcare innovation,bk,Book,Garcia M.B.,University of the Philippines Diliman,Quezon City,Philippines,2024-03-22,22 March 2024,Transformative Approaches to Patient Literacy and Healthcare Innovation,,21101215293,Book,,7,0
2-s2.0-85189777786,10.4018/979-8-3693-0868-4,Transforming education for personalized learning,bk,Book,Munna A.S.,University of Sunderland,Sunderland,United Kingdom,2024-03-11,11 March 2024,Transforming Education for Personalized Learning,,21101212347,Book,,0,0
2-s2.0-85189572068,10.4018/979-8-3693-3811-7,Globalized consumer insights in the digital era,bk,Book,Sahin F.,Bandırma Onyedi Eylül University,Bandirma,Turkey,2024-03-05,5 March 2024,Globalized Consumer Insights in the Digital Era,,21101212034,Book,,3,0
2-s2.0-85189601406,10.4018/979-8-3693-2964-1,The ethical frontier of AI and data analysis,bk,Book,Kumar R.,Moradabad Institute of Technology,Moradabad,India,2024-03-04,4 March 2024,The Ethical Frontier of AI and Data Analysis,,21101211906,Book,,5,0
2-s2.0-85181480758,10.1002/cl2.1367,Effectiveness of road safety interventions: An evidence and gap map,ar,Article,Goel R.,Indian Institute of Technology Delhi,New Delhi,India,2024-03-01,March 2024,Campbell Systematic Reviews,18911803,21100936623,Journal,,17,1
2-s2.0-85190861731,10.4018/979-8-3693-1231-5,Contemporary trends in innovative marketing strategies,bk,Book,Barbosa B.,Universidade do Porto,Porto,Portugal,2024-02-19,19 February 2024,Contemporary Trends in Innovative Marketing Strategies,,21101215296,Book,,3,0
2-s2.0-85190859470,10.4018/978-1-7998-3940-8,Leading and managing change for school improvement,bk,Book,Yildiz N.G.,İstanbul Medipol Üniversitesi,Istanbul,Turkey,2024-02-19,19 February 2024,Leading and Managing Change for School Improvement,,21101215311,Book,,0,0
2-s2.0-85178659706,10.1016/j.autcon.2023.105210,Digital twin for intelligent tunnel construction,re,Review,Li T.,Tongji University,Shanghai,China,2024-02-01,February 2024,Automation in Construction,09265805,24931,Journal,,44,0
2-s2.0-85176240774,10.1016/j.jss.2023.111881,Potential effectiveness and efficiency issues in usability evaluation within digital health: A systematic literature review,ar,Article,Maqbool B.,Karlstads Universitet,Karlstad,Sweden,2024-02-01,February 2024,Journal of Systems and Software,01641212,19309,Journal,,25,1
2-s2.0-85193949456,10.4018/979-8-3693-1182-0,Digital capitalism in the new media era,bk,Book,Topçu Ç.,Antalya Belek University,Antalya,Turkey,2024-01-25,25 January 2024,Digital Capitalism in the New Media Era,,21101224439,Book,,0,0
2-s2.0-85193992108,10.4018/9798369313398,Smart and sustainable interactive marketing,bk,Book,Irani H.R.,University of Tehran,Tehran,Iran,2024-01-22,22 January 2024,Smart and Sustainable Interactive Marketing,,21101224419,Book,,1,0
2-s2.0-85193677169,10.4018/979-8-3693-0807-3.ch016,Evolution of the legal status of oceanographic data management in Europe,ch,Book Chapter,Wulff E.,CSIC - Instituto de Ciencias Marinas de Andalucia (ICMAN),Cadiz,Spain,2024-01-18,18 January 2024,Handbook of Research on Innovative Approaches to Information Technology in Library and Information Science,,21101223817,Book,,0,0
2-s2.0-85193674998,10.4018/979-8-3693-0807-3,Handbook of research on innovative approaches to information technology in library and information science,bk,Book,Holland B.,,,,2024-01-18,18 January 2024,Handbook of Research on Innovative Approaches to Information Technology in Library and Information Science,,21101223817,Book,,0,0
2-s2.0-85193983079,10.4018/979-8-3693-0409-9,Reshaping entrepreneurial education within an industry 4.0 context,bk,Book,Naidoo V.,University of KwaZulu-Natal,Durban,South Africa,2024-01-17,17 January 2024,Reshaping Entrepreneurial Education Within an Industry 4.0 Context,,21101224414,Book,,1,0
2-s2.0-85193476838,10.4018/9798369304051,"Frameworks for blockchain standards, tools, testbeds, and platforms",bk,Book,Ramakrishna Y.,Skyline University College,Sharjah,United Arab Emirates,2024-01-17,17 January 2024,"Frameworks for Blockchain Standards, Tools, Testbeds, and Platforms",,21101223519,Book,,0,0
2-s2.0-85193470295,10.4018/9798369304280,Digital business and optimizing operating strategies,bk,Book,Akel G.,Antalya Belek University,Antalya,Turkey,2024-01-04,4 January 2024,Digital Business and Optimizing Operating Strategies,,21101223521,Book,,0,0
2-s2.0-86000605654,10.1007/978-3-031-74418-1,"The FinTech Revolution: Bridging Geospatial Data Science, AI, and Sustainability",ch,Book Chapter,Gopal S.,Boston University,Boston,United States,2024-01-01,2024,Sustainable Finance,25228285,21101277854,Book Series,,0,0
2-s2.0-85217308123,10.4324/9781003390794,"Teaching and Researching Listening, Fourth Edition",bk,Book,Rost M.,,,,2024-01-01,1 January 2024,"Teaching and Researching Listening, Fourth Edition",,21101273910,Book,,0,0
2-s2.0-85208873555,10.1016/C2023-0-50836-5,"Fundamentals of Water Pollution: Quantifying Pollutant Formation, Transport, Transformation, Fate, and Risks",bk,Book,Vallero D.A.,Pratt School of Engineering,Durham,United States,2024-01-01,1 January 2024,"Fundamentals of Water Pollution: Quantifying Pollutant Formation, Transport, Transformation, Fate and Risks",,21101258677,Book,,0,0
2-s2.0-85207391127,10.1007/978-3-319-14702-4,Eco-cities: Scenarios for Innovation and Sustainability,bk,Book,Ciumasu I.M.,Université de Versailles Saint-Quentin-en-Yvelines;INTRAS Institute,Versailles;Versailles,France;France,2024-01-01,2024,Green Energy and Technology,18653529,21100248905,Book Series,,0,0
2-s2.0-85207322309,10.4018/979-8-3693-5976-1,Intersections of Law and Computational Intelligence in Health Governance,bk,Book,Vig K.,Sharda University,Greater Noida,India,2024-01-01,1 January 2024,Intersections of Law and Computational Intelligence in Health Governance,,21101255603,Book,,0,0
2-s2.0-85205568750,10.1007/978-3-031-63985-2,Sustainability and Corporate Performance in Health Care: ESG Implications for the European Industry,bk,Book,Candio P.,Università di Trento,Trento,Italy,2024-01-01,2024,"CSR, Sustainability, Ethics and Governance",21967075,21101089967,Book Series,,0,0
2-s2.0-85205208360,,"How to Design Studies and Write Research Proposals: A Guide for Nursing, Allied Health and Social Care Students",bk,Book,Parahoo K.,Ulster University,Coleraine,United Kingdom,2024-01-01,1 January 2024,"How to Design Studies and Write Research Proposals: A Guide for Nursing, Allied Health and Social Care Students",,21101251118,Book,,0,0
2-s2.0-85202977381,10.1007/978-3-031-63485-7,Communication in the Metaverse,ch,Book Chapter,Matusitz J.,University of Central Florida,Orlando,United States,2024-01-01,2024,Signals and Communication Technology,18604862,21100901476,Book Series,,0,0
2-s2.0-85202778901,10.1201/9781003495147-13,Digital Accessibility for Users with Disabilities,ch,Book Chapter,Ntoa S.,Institute of Computer Science,Heraklion,Greece,2024-01-01,1 January 2024,"Designing for Usability, Inclusion and Sustainability in Human-Computer Interaction",,21101245364,Book,,4,0
2-s2.0-85196438192,10.1201/9781003380962,The Business of Cyber: Why You Should Question What Your Security Team Are Telling You,bk,Book,Fagan P.,,,,2024-01-01,1 January 2024,The Business of Cyber: Why You Should Question What Your Security Team are Telling You,,21101229880,Book,,0,0
2-s2.0-85195849088,10.1080/10941665.2024.2358340,Reinvestigating repurchase intentions for travel apps: a comparison of China's various tiers of cities,ar,Article,Gao Z.,Yunnan University of Finance and Economics,Kunming,China,2024-01-01,2024,Asia Pacific Journal of Tourism Research,10941665,12117,Journal,,1,1
2-s2.0-85194763862,10.4324/9781003360612,"INSTRUCTIONAL DESIGN FOR ORGANIZATIONAL JUSTICE: A Guide to Equitable Learning, Training, and Performance in Professional Education and Workforce Settings",bk,Book,Giacumo L.A.,College of Engineering,Boise,United States,2024-01-01,1 January 2024,"Instructional Design for Organizational Justice: A Guide to Equitable Learning, Training, and Performance in Professional Education and Workforce Settings",,21101240578,Book,,3,0
2-s2.0-85193872752,10.1002/9781119742975.ch5,Exposure Assessment,ch,Book Chapter,Paustenbach D.J.,Paustenbach and Associates,Jackson,United States,2024-01-01,1 January 2024,Human and Ecological Risk Assessment: Theory and Practice: Third Edition: Volume 1,,21101224099,Book,,4,0
2-s2.0-85193713914,10.1177/20552076241255929,Understanding citizens’ attitudes within user-centered digital health ecosystems: A sequential mixed method methodology including a web-survey,ar,Article,Huettemann R.,Universität Witten/Herdecke,Witten,Germany,2024-01-01,January-December 2024,Digital Health,,21100924250,Journal,,2,1
2-s2.0-85191475387,10.1142/13618,ARTIFICIAL INTELLIGENCE IN MEDICINE: A Practical Guide for Clinicians,bk,Book,Quinn C.,LLC,Rockville,United States,2024-01-01,1 January 2024,Artificial Intelligence in Medicine: A Practical Guide for Clinicians,,21101217534,Book,,0,0
2-s2.0-85191251146,10.4324/9780429032028,Memories That Matter: How We Remember Important Things,bk,Book,Madan C.R.,University of Nottingham,Nottingham,United Kingdom,2024-01-01,1 January 2024,Memories That Matter: How We Remember Important Things,,21101216614,Book,,7,0
2-s2.0-85186838481,10.4324/9781315666914,FLOOD RISK AND COMMUNITY RESILIENCE: An Interdisciplinary Approach,bk,Book,McEwen L.J.,University of the West of England,Bristol,United Kingdom,2024-01-01,1 January 2024,Flood Risk and Community Resilience: An Interdisciplinary Approach,,21101205570,Book,,0,0
2-s2.0-85185994344,10.4324/9781003368151,"Nurturing Natures: Attachment and Children's Emotional, Sociocultural and Brain Development, Third Edition",bk,Book,Music G.,Tavistock and Portman NHS Foundation Trust,London,United Kingdom,2024-01-01,1 January 2024,"Nurturing Natures: Attachment and Children's Emotional, Sociocultural and Brain Development, Third Edition",,21101202982,Book,,1,0
2-s2.0-85181676484,10.1080/01605682.2023.2253852,Operational Research: methods and applications,re,Review,Petropoulos F.,"University of Bath, School of Management;University of Nicosia",Bath;Nicosia,United Kingdom;Cyprus,2024-01-01,2024,Journal of the Operational Research Society,01605682,22236,Journal,,26,0
2-s2.0-105005046823,10.1007/978-981-97-9350-1,Artificial Intelligence in Education: A Machine-Generated Literature Overview,bk,Book,Khine M.S.,Curtin University,Perth,Australia,2024-01-01,1 January 2024,Artificial Intelligence in Education: A Machine-Generated Literature Overview,,21101295398,Book,,5,0
2-s2.0-105004165902,10.1007/978-981-97-9251-1,The Balancing Problem in the Governance of Artificial Intelligence,bk,Book,Marwala T.,"United Nations University, Japan",Tokyo,Japan,2024-01-01,1 January 2024,The Balancing Problem in the Governance of Artificial Intelligence,,21101291898,Book,,2,0
2-s2.0-105004115397,10.1007/9789819973798,The Economics of Sustainable Development: A Machine-generated Literature Overview,bk,Book,Nulkar G.,Gokhale Institute of Politics and Economics,Pune,India,2024-01-01,1 January 2024,The Economics of Sustainable Development: A Machine-generated Literature Overview,,21101292160,Book,,0,0
