authors,title,venue,publisher,year
"Chen, X., Kang, E., Shiraishi, S., Preciado, V.M., Jiang, Z.",Digital behavioral twins for safe connected cars,Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems (MODELS),,2018
"Cheng, B.H.C., Clark, R.J., Fleck, J.E., Langford, M.A., McKinley, P.K.",AC-ROS: assurance case driven adaptation for the robot operating system,"E. Syriani, H.A. Sahraoui, J. de Lara, S. Abrahão (eds.) MoDELS ’20: ACM/IEEE 23rd International Conference on Model Driven Engineering Languages and Systems, Virtual Event, Canada, 18-23 October, 2020",ACM,2020
"Chis, A., Ghiran, A., Buchmann, R.A.",Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era,"B. Buchberger, M. Marin, V. Negru, D. Zaharie (eds.) 24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2022, Hagenberg / Linz, Austria, September 12-15, 2022",IEEE,2022
"Christofi, N., Pucel, X.",A novel methodology to construct digital twin models for spacecraft operations using fault and behaviour trees,Companion Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems (MODELS),,2022
"Cimino, C., Leva, A., Ferretti, G.",Ensuring consistency in scalable-detail models for DT-based control,,,
"Compagnucci, I., Snoeck, M., Asensio, E.S.",Supporting digital twins systems integrating the MERODE approach,"Companion Proceedings of the ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS, Västerås, Sweden, October 1-6, 2023",IEEE,2023
"Dai, Y., Shi, Y., Zhang, Z., Tao, R., Fang, F.",Digital twins driving model based on petri net in industrial pipeline,2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),IEEE,2020
"Dalibor, M., Heithoff, M., Michael, J., Netz, L., Pfeiffer, J., Rumpe, B., Varga, S., Wortmann, A.",Generating customized low-code development platforms for digital twins,,,
"Dalibor, M., Michael, J., Rumpe, B., Varga, S., Wortmann, A.",Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits,"G. Dobbie, U. Frank, G. Kappel, S.W. Liddle, H.C. Mayr (eds.) Conceptual Modeling - 39th International Conference, ER 2020, Vienna, Austria, November 3-6, 2020, Proceedings, Lecture Notes in Computer Science, vol. 12400",Springer,2020
"Di Maio, M., Kapos, G.D., Klusmann, N., Atorf, L., Dahmen, U., Schluse, M., Rossmann, J.",Closed-loop systems engineering (close): Integrating experimentable digital twins with the model-driven engineering process,IEEE International Systems Engineering Symposium (ISSE),IEEE,2018
"Eisenberg, M., Lehner, D., Sindelár, R., Wimmer, M.",Towards Reactive Planning with Digital Twins and Model-Driven Optimization,"T. Margaria, B. Steffen (eds.) Leveraging Applications of Formal Methods, Verification and Validation. Practice - 11th International Symposium, ISoLA 2022, Rhodes, Greece, October 22-30, 2022, Proceedings, Part IV, Lecture Notes in Computer Science, vol. 13704",Springer,2022
"Fend, A., Bork, D.",Cpsa - a language and code generation framework for digital twin based monitoring of mobile cyber-physical systems,"T. Kühn, V. Sousa (eds.) Companion Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems, MODELS, Montreal, Quebec, Canada, October 23-28, 2022",ACM,2022
"Giovanni, M.D., Campanile, L., D’Onofrio, A., Marrone, S., Marulli, F., Romoli, M., Sabbarese, C., Verde, L.",Supporting the development of digital twins in nuclear waste monitoring systems,"G.A. Tsihrintzis, C. Toro, S.A. Ríos, R.J. Howlett, L.C. Jain (eds.) Knowledge-Based and Intelligent Information & Engineering Systems: Proceedings of the 27th International Conference KES-2023, Athens, Greece, 6-8 September 2023, Procedia Computer Science, vol. 225",Elsevier,2023
"Gorelova, A., Meliá, S., Gadzhimusieva, D., Parichenko, A.",Applying discrete event simulation on patient flow scenarios with health monitoring systems,International Conference on Web Engineering,Springer,2023
"Gorodetsky, V., Kozhevnikov, S.S., Novichkov, D., Skobelev, P.O.",The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management,"V. Marík, P. Kadera, G. Rzevski, A. Zoitl, G. Anderst-Kotsis, A.M. Tjoa, I. Khalil (eds.) Industrial Applications of Holonic and Multi-Agent Systems - 9th International Conference, HoloMAS 2019, Linz, Austria, August 26-29, 2019, Proceedings, Lecture Notes in Computer Science, vol. 11710",Springer,2019
"Grimmeisen, P., Wortmann, A., Morozov, A.",Case study on automated and continuous reliability assessment of software-defined manufacturing based on digital twins,"T. Kühn, V. Sousa (eds.) Companion Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems, MODELS, Montreal, Quebec, Canada, October 23-28, 2022",ACM,2022
"Guo, J., Zhao, D., Gu, C., Chen, X., Zhang, X., Ju, M.",An enhanced state-aware model learning approach for security analysis in lightweight protocol implementations,,,
"Huang, Y., Dhouib, S., Medinacelli, L.P., Malenfant, J.",Enabling semantic interoperability of asset administration shells through an ontology-based modeling method,"T. Kühn, V. Sousa (eds.) Companion Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems, MODELS, Montreal, Quebec, Canada, October 23-28, 2022",ACM,2022
"Huang, Y., Dhouib, S., Medinacelli, L.P., Malenfant, J.",Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework,"6th IEEE International Conference on Industrial Cyber-Physical Systems, ICPS 2023, Wuhan, China, May 8-11, 2023",IEEE,2023
"Hugues, J., Hristosov, A., Hudak, J.J., Yankel, J.",TwinOps - DevOps meets model-based engineering and digital twins for the engineering of CPS,"E. Guerra, L. Iovino (eds.) Companion Proceedings of MODELS’20: ACM/IEEE 23rd International Conference on Model Driven Engineering Languages and Systems, Virtual Event, Canada, 18-23 October, 2020",:1–94:5. ACM,2020
"Jayaraman, R., Lehner, D., Klikovits, S., Wimmer, M.",Towards generating model-driven speech interfaces for digital twins,"Companion Proceedings of the ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS, Västerås, Sweden, October 1-6, 2023",IEEE,2023
"Karagiannis, D., Buchmann, R.A., Utz, W.",The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development,,,
"Kirchhof, J.C., Malcher, L., Rumpe, B.",Understanding and improving model-driven IoT systems through accompanying digital twins,"E. Tilevich, C.D. Roover (eds.) GPCE ’21: Concepts and Experiences, Chicago, IL, USA, October 17 - 18, 2021",ACM,2021
"Kirchhof, J.C., Michael, J., Rumpe, B., Varga, S., Wortmann, A.",Model-driven digital twin construction: synthesizing the integration of cyber-physical systems with their information systems,"E. Syriani, H.A. Sahraoui, J. de Lara, S. Abrahão (eds.) MoDELS ’20: ACM/IEEE 23rd International Conference on Model Driven Engineering Languages and Systems, Virtual Event, Canada, 18-23 October, 2020",ACM,2020
"Laukotka, F.N., Krause, D.",Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling,,,
"Lehner, D., Sint, S., Eisenberg, M., Wimmer, M.",A pattern catalog for augmenting digital twin models with behavior,,,
"Lehner, D., Sint, S., Vierhauser, M., Narzt, W., Wimmer, M.",AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML,"26th IEEE International Conference on Emerging Technologies and Factory Automation, ETFA 2021, Vasteras, Sweden, September 7-10, 2021",IEEE,2021
"Li, J., Zhou, G., Zhang, C.",Twin Process Model Driven Machining Quality Optimization for Complex Parts,2021 International Conference on Digital Society and Intelligent Systems (DSInS),IEEE,2021
"Li, W., Li, B., Gao, H., Peng, C., Zhang, W., Li, Y., Ji, X.",Survey and practice on architecture and deployment method of digital twin system for intelligent substation,"7th International Symposium on Computer Science and Intelligent Control, ISCSIC 2023, Nanjing, China, October 27-29, 2023",IEEE,2023
"Liu, J., Ji, Q., Zhang, X., Chen, Y., Zhang, Y., Liu, X., Tang, M.",Digital twin model-driven capacity evaluation and scheduling optimization for ship welding production line,,,
"Lyan, G., Jézéquel, J.M., Gross-Amblard, D., Combemale, B.","Datatime: a framework to smoothly integrate past, present and future into models",2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS),IEEE,2021
"Michael, J., Nachmann, I., Netz, L., Rumpe, B., Stüber, S.",Generating digital twin cockpits for parameter management in the engineering of wind turbines,"M. Riebisch, M. Tropmann-Frick (eds.) Modellierung 2022, 27. Juni - 01. Juli 2022, Hamburg, Deutschland, LNI, vol. P-324",Gesellschaft für Informatik e.V.,2022
"Michael, J., Schwammberger, M., Wortmann, A.",Explaining cyberphysical system behavior with digital twins,,,
"Moreno, N., Toro-G�lvez, L., Troya, J., Canal, C.",Modeling urban digital twins over the cloud-to-thing continuum,,,
"Muñoz, P., Troya, J., Vallecillo, A.",Using UML and OCL Models to Realize High-Level Digital Twins,"Companion Proceedings of the ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS, Fukuoka, Japan, October 10-15, 2021",IEEE,2021
"Muñoz, P., Wimmer, M., Troya, J., Vallecillo, A.",Using trace alignments for measuring the similarity between a physical and its digital twin,"T. Kühn, V. Sousa (eds.) Companion Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems, MODELS, Montreal, Quebec, Canada, October 23-28, 2022",ACM,2022
"Nast, B., Reiz, A., Ivanovic, N., Sandkuhl, K.",A modeling approach supporting digital twin engineering: Optimizing the energy consumption of air conditioning facilities,"Companion Proceedings of the ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS, Västerås, Sweden, October 1-6, 2023",IEEE,2023
"Niati, A., Selma, C., Tamzalit, D., Bruneliere, H., Mebarki, N., Cardin, O.",Towards a digital twin for cyber-physical production systems: a multi-paradigm modeling approach in the postal industry,"E. Guerra, L. Iovino (eds.) Companion Proceedings of MODELS’20: ACM/IEEE 23rd International Conference on Model Driven Engineering Languages and Systems, Virtual Event, Canada, 18-23 October, 2020",:1–89:7. ACM,2020
"i Palomés, X.P., Tuset-Peiró, P., i Casas, P.F.",Combining low-code programming and sdl-based modeling with snap! in the industry 4.0 context,"Companion Proceedings of the ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS, Fukuoka, Japan, October 10-15, 2021",IEEE,2021
"Parri, J., Patara, F., Sampietro, S., Vicario, E.",A framework for model-driven engineering of resilient software-controlled systems,,,
"Rass�lkin, A., Rjabtsikov, V., Kuts, V., Vaimann, T., Kallaste, A., Asad, B., Partyshev, A.",Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model,,,
"Rassõlkin, A., Rjabtšikov, V., Vaimann, T., Kallaste, A., Kuts, V., Partyshev, A.",Digital twin of an electrical motor based on empirical performance model,2020 XI International Conference on Electrical Power Drive Systems (ICEPDS),IEEE,2020
"Rivera, L.F., Müller, H.A., Villegas, N.M., Tamura, G., Jiménez, M.",On the Engineering of IoT-Intensive Digital Twin Software Systems,"ICSE ’20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020",ACM,2020
"Sartaj, H., Ali, S., Yue, T., Moberg, K.",Model-based digital twins of medicine dispensers for healthcare IoT applications,,,
"Schroeder, G.N., Steinmetz, C., Rodrigues, R.N., Henriques, R.V.B., Rettberg, A., Pereira, C.E.",A methodology for digital twin modeling and deployment for industry 4.0,,,
"Shokooh, S., Nordvik, G.",A model-driven approach for situational intelligence & operational awareness,2019 Petroleum and Chemical Industry Conference Europe (PCIC EUROPE),IEEE,2019
"Somers, R.J., Clark, A.G., Walkinshaw, N., Hierons, R.M.",Reliable counterparts: efficiently testing causal relationships in digital twins,"T. Kühn, V. Sousa (eds.) Companion Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems, MODELS, Montreal, Quebec, Canada, October 23-28, 2022",ACM,2022
"Spaney, P., Becker, S., Ströbel, R., Fleischer, J., Zenhari, S., Möhring, H., Splettstößser, A., Wortmann, A.",A model-driven digital twin for manufacturing process adaptation,"ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2023 Companion, Västerås, Sweden, October 1-6, 2023",IEEE,2023
"Valderas, P.",Supporting the Implementation of Digital Twins for IoT-Enhanced BPs,"S. Nurcan, A.L. Opdahl, H. Mouratidis, A. Tsohou (eds.) Research Challenges in Information Science: Information Science and the Connected World - 17th International Conference, RCIS 2023, Corfu, Greece, May 23-26, 2023, Proceedings, Lecture Notes in Business Information Processing, vol. 476",Springer,2023
"Visconti, E., Tsigkanos, C., Hu, Z., Ghezzi, C.",Model-driven engineering city spaces via bidirectional model transformations,,,
"Wang, G., Bing, Z., Hou, Z., Guan, Y., Qi, X., Liu, M.",Workshop Management and Control System Based on Digital Twin,"2022 8th International Conference on Control, Automation and Robotics (ICCAR)",IEEE,2022
"Wang, L., Li, B., Zhang, K., Wang, K., Huimin, H., Huang, J.",Research on digital twin technology of small hydraulic system,2023 9th International Conference on Fluid Power and Mechatronics (FPM),IEEE,2023
"Wilking, F., Behringer, M., Fett, M., Goetz, S., Kirchner, E., Wartzack, S.",Concept of a modular and system model driven digital twin for engineering education,2023 18th Annual System of Systems Engineering Conference (SoSe),IEEE,2023
"Yang, X., Liu, X., Zhang, H., Fu, L., Yu, Y.","Meta-model-based shop-floor digital twin architecture, modeling and application.",,,
"Yang, X., Ran, Y., Zhang, G., Wang, H., Mu, Z., Zhi, S.",A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool,,,
