Authors,Author full names,Author(s) ID,title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,doi,Link,Document Type,Publication Stage,Open Access,Source,EID
,,,"2021 9th E-Health and Bioengineering Conference, EHB 2021",2021,"2021 9th E-Health and Bioengineering Conference, EHB 2021",,,,,,924,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124521367&partnerID=40&md5=623881e08a90798d2cd6292f4c8860d5,Conference review,Final,,Scopus,2-s2.0-85124521367
Adwan E.J.; Zulfiqar M.; Malik J.; Arif A.,"Adwan, Ehab Juma (57205725939); Zulfiqar, Manal (57347171300); Malik, Jeehan (57224001014); Arif, Ayesha (57346528400)",57205725939; 57347171300; 57224001014; 57346528400,Development of a mobile based birth and funeral event planning application in Bahrain,2021,"2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2021",,,,143,148,5,3,10.1109/3ICT53449.2021.9581744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119412382&doi=10.1109%2f3ICT53449.2021.9581744&partnerID=40&md5=59ebdcf24530ca5b58c976a21d2ad636,Conference paper,Final,,Scopus,2-s2.0-85119412382
,,,"2016 1st International Conference on Innovation and Challenges in Cyber Security, ICICCS 2016",2016,"2016 1st International Conference on Innovation and Challenges in Cyber Security, ICICCS 2016",,,,,,347,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985952041&partnerID=40&md5=aafb7246ff8a5c998caa4ee8c30e75fd,Conference review,Final,,Scopus,2-s2.0-84985952041
,,,"2024 Arab ICT Conference, AICTC 2024",2024,"2024 Arab ICT Conference, AICTC 2024",,,,,,288,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210589142&partnerID=40&md5=407ecf1f69659de15f2bd1c942a0eaf9,Conference review,Final,,Scopus,2-s2.0-85210589142
Juarez D.J.; Cedillo P.,"Juarez, Diego Jara (57201682783); Cedillo, Priscila (55761108900)",57201682783; 55761108900,Security of mobile cloud computing: A systematic mapping study,2018,"2017 IEEE 2nd Ecuador Technical Chapters Meeting, ETCM 2017",2017-January,,,1,6,5,5,10.1109/ETCM.2017.8247486,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045765600&doi=10.1109%2fETCM.2017.8247486&partnerID=40&md5=6d8fc30aa93b240d5d62a55e2dc8b1b9,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85045765600
Hendricks W.,"Hendricks, Waldon (57212277825)",57212277825,Review of NoSQL Data Stores: Using a reactive three-tier application for software developers to achieve a high availability application design architecture,2019,"2019 Open Innovations Conference, OI 2019",,,8908187,71,77,6,3,10.1109/OI.2019.8908187,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076354042&doi=10.1109%2fOI.2019.8908187&partnerID=40&md5=ee3005873beb32f61f5f56deae6f07f7,Conference paper,Final,,Scopus,2-s2.0-85076354042
,,,"2022 1st International Conference on Software Engineering and Information Technology, ICoSEIT 2022",2022,"2022 1st International Conference on Software Engineering and Information Technology, ICoSEIT 2022",,,,,,286,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148249572&partnerID=40&md5=e7a2f3595419bab04a0ce0861111c18a,Conference review,Final,,Scopus,2-s2.0-85148249572
Musarat M.A.; Altaf M.; Hameed N.; Alaloul W.S.; Baarimah A.O.; Alzubi K.M.,"Musarat, Muhammad Ali (57213145013); Altaf, Muhammad (57218678668); Hameed, Nasir (57478291800); Alaloul, Wesam Salah (57188692830); Baarimah, Abdullah O. (57199323614); Alzubi, Khalid M. (56719770500)",57213145013; 57218678668; 57478291800; 57188692830; 57199323614; 56719770500,Impact of Communication on Site Accidents Prevention: A Review,2021,"2021 International Conference on Decision Aid Sciences and Application, DASA 2021",,,,562,566,4,11,10.1109/DASA53625.2021.9682255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125786031&doi=10.1109%2fDASA53625.2021.9682255&partnerID=40&md5=e8c2cf184fbb87fa1142f4eaa073c4e4,Conference paper,Final,,Scopus,2-s2.0-85125786031
,,,"2022 International Conference on Information Technology Systems and Innovation, ICITSI 2022 - Proceedings",2022,"2022 International Conference on Information Technology Systems and Innovation, ICITSI 2022 - Proceedings",,,,,,410,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145454266&partnerID=40&md5=73b88e7d8da3480e9996f86f221380a5,Conference review,Final,,Scopus,2-s2.0-85145454266
Mutyara A.G.; Farras B.A.; Sari L.P.; Achmad S.; Sutoyo R.,"Mutyara, Azella Gania (58091457200); Farras, Brian Abiyyu (58091339800); Sari, Liauren Permata (58091001700); Achmad, Said (57338945600); Sutoyo, Rhio (55916999000)",58091457200; 58091339800; 58091001700; 57338945600; 55916999000,The Influence of Smartphone Applications on Human Healthcare,2022,"2022 International Conference on Informatics Electrical and Electronics, ICIEE 2022 - Proceedings",,,,,,,1,10.1109/ICIEE55596.2022.10010130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147427884&doi=10.1109%2fICIEE55596.2022.10010130&partnerID=40&md5=0cc9d0791fc9d21b2e2100638936b579,Conference paper,Final,,Scopus,2-s2.0-85147427884
Kumar S.; Pundir A.K.,"Kumar, Shashank (57213856593); Pundir, Ashok Kumar (59500041500)",57213856593; 59500041500,Integration of IoT and Blockchain Technology for Enhancing Supply Chain Performance: A Review,2020,"11th Annual IEEE Information Technology, Electronics and Mobile Communication Conference, IEMCON 2020",,,9284890,396,401,5,8,10.1109/IEMCON51383.2020.9284890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099291042&doi=10.1109%2fIEMCON51383.2020.9284890&partnerID=40&md5=46e328bba5fc43d2e40f5cf25d7d3fa9,Conference paper,Final,,Scopus,2-s2.0-85099291042
Paschou M.; Sakkopoulos E.,"Paschou, Mersini (36634759000); Sakkopoulos, Evangelos (8977391600)",36634759000; 8977391600,Personalized assistant apps in healthcare: A Systematic Review,2019,"10th International Conference on Information, Intelligence, Systems and Applications, IISA 2019",,,8900728,,,,8,10.1109/IISA.2019.8900728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075895118&doi=10.1109%2fIISA.2019.8900728&partnerID=40&md5=d008ca4d77330cab4d8964c14b5b765e,Conference paper,Final,,Scopus,2-s2.0-85075895118
Waghmare S.; Bajeja S.,"Waghmare, Shweta (59718456800); Bajeja, Sunil (59134552300)",59718456800; 59134552300,Ransomware Classification: A Comparative Analysis of ML Algorithms,2024,"2024 IEEE 4th International Conference on ICT in Business Industry and Government, ICTBIG 2024",,,,,,,0,10.1109/ICTBIG64922.2024.10911046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001549771&doi=10.1109%2fICTBIG64922.2024.10911046&partnerID=40&md5=d66a1a9dadc6858892a382f189fb0086,Conference paper,Final,,Scopus,2-s2.0-105001549771
Qasim I.; Azam F.; Anwar M.W.; Tufail H.; Qasim T.,"Qasim, Iqra (57206889266); Azam, Farooque (59326685200); Anwar, Muhammad Waseem (56677318200); Tufail, Hanny (57201990237); Qasim, Tehreem (57193627483)",57206889266; 59326685200; 56677318200; 57201990237; 57193627483,Mobile User Interface Development Techniques: A Systematic Literature Review,2018,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2018",,,8614764,1029,1034,5,11,10.1109/IEMCON.2018.8614764,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062102966&doi=10.1109%2fIEMCON.2018.8614764&partnerID=40&md5=6ea19eea4ab8dec25dfc73dd089a1979,Conference paper,Final,,Scopus,2-s2.0-85062102966
Torkzadeh M.H.; Sherimon V.,"Torkzadeh, Moein Hossein (59658997600); Sherimon, Vinu (56123072100)",59658997600; 56123072100,A Systematic Review of 5G Applications and Impacts in Automotive Manufacturing and Mobility,2024,"2024 2nd International Conference on Computing and Data Analytics, ICCDA 2024 - Proceedings",,,,,,,0,10.1109/ICCDA64887.2024.10867324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219154721&doi=10.1109%2fICCDA64887.2024.10867324&partnerID=40&md5=fd8a92564760d7ae64d13fff6f788202,Conference paper,Final,,Scopus,2-s2.0-85219154721
Zarrad A.; Mahlous A.R.,"Zarrad, Anis (11940715500); Mahlous, Ahmed Redha (25641407300)",11940715500; 25641407300,A comprehensive case study of the impact of multicast routing protocols on mobile health care training systems,2014,"2014 3rd International Conference on e-Technologies and Networks for Development, ICeND 2014",,,6991355,70,74,4,0,10.1109/ICeND.2014.6991355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921341940&doi=10.1109%2fICeND.2014.6991355&partnerID=40&md5=de4059cbfdcd6a580e6adcf05dac82b0,Conference paper,Final,,Scopus,2-s2.0-84921341940
,,,"2011 5th Malaysian Conference in Software Engineering, MySEC 2011",2011,"2011 5th Malaysian Conference in Software Engineering, MySEC 2011",,,,,,499,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857300770&partnerID=40&md5=535fff4c0ddc7a47904717353e481d66,Conference review,Final,,Scopus,2-s2.0-84857300770
Aloui K.; Guizani A.; Hammadi M.; Haddar M.; Soriano T.,"Aloui, Khalil (57224400859); Guizani, Amir (56341134700); Hammadi, Moncef (56465663600); Haddar, Mohamed (13806002000); Soriano, Thierry (6701501592)",57224400859; 56341134700; 56465663600; 13806002000; 6701501592,Systematic literature review of collaborative SLAM applied to autonomous mobile robots,2022,"2022 IEEE Information Technologies and Smart Industrial Systems, ITSIS 2022",,,,,,,6,10.1109/ITSIS56166.2022.10118378,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160445552&doi=10.1109%2fITSIS56166.2022.10118378&partnerID=40&md5=7a3028da204ff478a8ffc88762eaa920,Conference paper,Final,,Scopus,2-s2.0-85160445552
Stapic Z.; Mijac M.; Strahonja V.,"Stapic, Z. (24829733500); Mijac, M. (56530619500); Strahonja, V. (14020509500)",24829733500; 56530619500; 14020509500,Methodologies for development of mobile applications,2016,"2016 39th International Convention on Information and Communication Technology, Electronics and Microelectronics, MIPRO 2016 - Proceedings",,,7522228,688,692,4,3,10.1109/MIPRO.2016.7522228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983646600&doi=10.1109%2fMIPRO.2016.7522228&partnerID=40&md5=d9533c6de56c720574f1e2c4965f856f,Conference paper,Final,,Scopus,2-s2.0-84983646600
Öztürk S.; Elmas C.; Bozyiǧit F.; Kilmç D.,"Öztürk, Selin (57200275928); Elmas, Can (57200284927); Bozyiǧit, Fatma (57063298500); Kilmç, Deniz (59663182500)",57200275928; 57200284927; 57063298500; 59663182500,Comparison of mobile interaction management products using systematic literature review method and a new product suggestion; [Sistematik Literatür Inceleme Yöntemi Kullanilarak Mobil Etkileşim Yönetimi Ürünlerinin Karşilaştirilmasi ve Yeni Ürün Önerisi],2017,"2nd International Conference on Computer Science and Engineering, UBMK 2017",,,8093372,183,188,5,0,10.1109/UBMK.2017.8093372,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040571070&doi=10.1109%2fUBMK.2017.8093372&partnerID=40&md5=af9c797ca391905890ecdd456c214318,Conference paper,Final,,Scopus,2-s2.0-85040571070
Bonilla Brito M.A.; Jabba Molinares D.,"Bonilla Brito, Mario Armando (58921590100); Jabba Molinares, Daladier (57205667177)",58921590100; 57205667177,RPL Routing Metrics for 5G Networks: Systematic Review in IIoT,2023,"1st IEEE Colombian Caribbean Conference, C3 2023",,,,,,,0,10.1109/C358072.2023.10436250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186759378&doi=10.1109%2fC358072.2023.10436250&partnerID=40&md5=c934bfaea6fc0d6a07b103b0f814dc5d,Conference paper,Final,,Scopus,2-s2.0-85186759378
Anja Trkulja A.S.; Muharemovic A.; Gurbeta-Pokvic L.; Begic E.; Badnjevic A.,"Anja Trkulja, Amar Silajdzic (57796377100); Muharemovic, Asja (57796196300); Gurbeta-Pokvic, Lejla (57210323486); Begic, Edin (57216608123); Badnjevic, Almir (36496590800)",57796377100; 57796196300; 57210323486; 57216608123; 36496590800,"A brief review on wearable ECG devices and processing techniques for fall risk assessment, prevention and detection",2022,"2022 11th Mediterranean Conference on Embedded Computing, MECO 2022",,,,,,,1,10.1109/MECO55406.2022.9797202,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133972199&doi=10.1109%2fMECO55406.2022.9797202&partnerID=40&md5=6589f2f918a58d645e9664dcc02c45e2,Conference paper,Final,,Scopus,2-s2.0-85133972199
,,,"2022 9th International Conference on Software Defined Systems, SDS 2022",2022,"2022 9th International Conference on Software Defined Systems, SDS 2022",,,,,,168,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150707293&partnerID=40&md5=3bddc502b953fb3fb4e879b3a3c9f831,Conference review,Final,,Scopus,2-s2.0-85150707293
Varzgani F.; Tulu B.; Djamasbi S.; Frost E.B.; Wang Z.; Pietro J.; Boudreaux E.; Larkin C.,"Varzgani, Fatima (57220834348); Tulu, Bengisu (57203625801); Djamasbi, Soussan (18433762500); Frost, Evan B. (57325723200); Wang, Zhengya (57325530000); Pietro, John (57326102800); Boudreaux, Edwin (7006149665); Larkin, Celine (55700840100)",57220834348; 57203625801; 18433762500; 57325723200; 57325530000; 57326102800; 7006149665; 55700840100,Suicide prevention through smartphone applications: A systematic review of literature,2021,"27th Annual Americas Conference on Information Systems, AMCIS 2021",,,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118636177&partnerID=40&md5=9a53dcb567c52217ea111cf604dc4838,Conference paper,Final,,Scopus,2-s2.0-85118636177
,,,"2022 21st International Symposium INFOTEH-JAHORINA, INFOTEH 2022 - Proceedings",2022,"2022 21st International Symposium INFOTEH-JAHORINA, INFOTEH 2022 - Proceedings",,,,,,523,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128708564&partnerID=40&md5=2e44acb0ad980d3518b737a7be8edc14,Conference review,Final,,Scopus,2-s2.0-85128708564
Van Biljon J.; Van Der Merwe R.,"Van Biljon, Judy (23393877200); Van Der Merwe, Ronell (56562811400)",23393877200; 56562811400,"Trends, drivers and barriers influencing cloud computing services for mobile interactions in teaching and learning",2018,"2018 Conference on Information Communications Technology and Society, ICTAS 2018 - Proceedings",,,,1,7,6,2,10.1109/ICTAS.2018.8368738,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048947165&doi=10.1109%2fICTAS.2018.8368738&partnerID=40&md5=8d09a611b5dfba5c63d0a0eb3b436f26,Conference paper,Final,,Scopus,2-s2.0-85048947165
Ramjaun U.S.; Abdullah K.H.; Rana M.E.,"Ramjaun, Umme Suhailah (59302598100); Abdullah, Khairul Hafezad (57219323548); Rana, Muhammad Ehsan (57189235083)",59302598100; 57219323548; 57189235083,User Centered Agile Software Development: Emerging Themes and Future Trends,2023,"2023 4th International Conference on Data Analytics for Business and Industry, ICDABI 2023",,,,652,655,3,1,10.1109/ICDABI60145.2023.10629265,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190510688&doi=10.1109%2fICDABI60145.2023.10629265&partnerID=40&md5=bf8b181c0d04922d801d874cc5a55e32,Conference paper,Final,,Scopus,2-s2.0-85190510688
,,,"23rd Iberoamerican Conference on Software Engineering, CIbSE 2020",2020,"23rd Iberoamerican Conference on Software Engineering, CIbSE 2020",,,,,,693,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092306672&partnerID=40&md5=5514fa7fecd80faac8f58d390d17de44,Conference review,Final,,Scopus,2-s2.0-85092306672
Shokeen S.; Singh H.,"Shokeen, Safina (57210416635); Singh, Harbinder (57205389504)",57210416635; 57205389504,Multiple Input Multiple Output: An IOT based Application,2023,"2023 International Conference on Advancement in Computation and Computer Technologies, InCACCT 2023",,,,634,638,4,1,10.1109/InCACCT57535.2023.10141742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163359035&doi=10.1109%2fInCACCT57535.2023.10141742&partnerID=40&md5=6d930b9fe73b9445dcb53f7d80c80c3a,Conference paper,Final,,Scopus,2-s2.0-85163359035
Musthafa F.N.; Mansur S.; Wibawanto A.,"Musthafa, Fathima Naja (57221862062); Mansur, Syeda (58708666000); Wibawanto, Adika (57221867443)",57221862062; 58708666000; 57221867443,Automated software testing on mobile applications: A review with special focus on android platform,2020,"20th International Conference on Advances in ICT for Emerging Regions, ICTer 2020 - Proceedings",,,9325445,292,293,1,7,10.1109/ICTer51097.2020.9325445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100466432&doi=10.1109%2fICTer51097.2020.9325445&partnerID=40&md5=08370cb2ccdd958c34f3118fca163b89,Conference paper,Final,,Scopus,2-s2.0-85100466432
Trisnawaty N.W.; Raharjo T.; Hardian B.; Prasetyo A.,"Trisnawaty, Ni Wayan (57222726036); Raharjo, Teguh (57205119837); Hardian, Bob (15044388200); Prasetyo, Adi (57224010323)",57222726036; 57205119837; 15044388200; 57224010323,Success criteria and factor for IT project application implementation in digital transformation era: A case study financial sector industry,2021,"2021 IEEE International IOT, Electronics and Mechatronics Conference, IEMTRONICS 2021 - Proceedings",,,9422578,,,,6,10.1109/IEMTRONICS52119.2021.9422578,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106702950&doi=10.1109%2fIEMTRONICS52119.2021.9422578&partnerID=40&md5=a3979807229237883a2823de08838ecf,Conference paper,Final,,Scopus,2-s2.0-85106702950
Zajac K.; Aslan A.; Greve M.; Kolbe L.; Theron G.; Niesler T.; Cobelens F.; Klopper M.; Ssengooba W.; Joloba M.,"Zajac, Kimsey (59093763300); Aslan, Aycan (57741011100); Greve, Maike (57210370605); Kolbe, Lutz (8558256800); Theron, Grant (46161739300); Niesler, Thomas (6602438252); Cobelens, Frank (7004225016); Klopper, Marisa (55480956800); Ssengooba, Willy (57214875271); Joloba, Moses (6603733958)",59093763300; 57741011100; 57210370605; 8558256800; 46161739300; 6602438252; 7004225016; 55480956800; 57214875271; 6603733958,Bridging Healthcare Barriers with mHealth: A Systematic Review of Tuberculosis Applications and their Limitations,2023,"29th Annual Americas Conference on Information Systems, AMCIS 2023",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192925957&partnerID=40&md5=5645e9c77ccf3fad4c3de43a40723fd7,Conference paper,Final,,Scopus,2-s2.0-85192925957
Nor Hisham Z.A.; Faudzi M.A.; Ghapar A.A.; Rahim F.A.,"Nor Hisham, Zulfadhlina Amira (57220808067); Faudzi, Masyura Ahmad (35193815200); Ghapar, Azimah Abdul (35172922200); Rahim, Fiza Abdul (57350579500)",57220808067; 35193815200; 35172922200; 57350579500,A Systematic Literature Review of the Mobile Application for Object Recognition for Visually Impaired People,2020,"2020 8th International Conference on Information Technology and Multimedia, ICIMU 2020",,,9243523,316,322,6,3,10.1109/ICIMU49871.2020.9243523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097651859&doi=10.1109%2fICIMU49871.2020.9243523&partnerID=40&md5=e8e9410d278eed74b36cbbfc5be8da71,Conference paper,Final,,Scopus,2-s2.0-85097651859
,,,"2020 2nd International Conference on Cybernetics and Intelligent System, ICORIS 2020",2020,"2020 2nd International Conference on Cybernetics and Intelligent System, ICORIS 2020",,,,,,363,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100411777&partnerID=40&md5=aac17de232d27b00966335899fd1b988,Conference review,Final,,Scopus,2-s2.0-85100411777
Tufail H.; Azam F.; Anwar M.W.; Qasim I.,"Tufail, Hanny (57201990237); Azam, Farooque (59326685200); Anwar, Muhammad Waseem (56677318200); Qasim, Iqra (57206889266)",57201990237; 59326685200; 56677318200; 57206889266,Model-Driven Development of Mobile Applications: A Systematic Literature Review,2019,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2018",,,8614821,1165,1171,6,20,10.1109/IEMCON.2018.8614821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062080793&doi=10.1109%2fIEMCON.2018.8614821&partnerID=40&md5=b0d93b18042779f22e990eddd847fc0b,Conference paper,Final,,Scopus,2-s2.0-85062080793
Maia V.C.; da Rocha A.R.C.; Gonçalves T.G.,"Maia, Vitor Carneiro (57212495227); da Rocha, Ana Regina Cavalcanti (7102196556); Gonçalves, Taisa Guidini (56454039500)",57212495227; 7102196556; 56454039500,Identification of quality characteristics in mobile applications,2020,"23rd Iberoamerican Conference on Software Engineering, CIbSE 2020",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092277833&partnerID=40&md5=4d18bcc53756d36481ac3e313f0ef482,Conference paper,Final,,Scopus,2-s2.0-85092277833
Mahmud F.; Aris H.,"Mahmud, Farahidayah (57188652489); Aris, Hazleen (13608397500)",57188652489; 13608397500,State of mobile crowdsourcing applications: A review,2015,"2015 4th International Conference on Software Engineering and Computer Systems, ICSECS 2015: Virtuous Software Solutions for Big Data",,,7333118,27,32,5,13,10.1109/ICSECS.2015.7333118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962048152&doi=10.1109%2fICSECS.2015.7333118&partnerID=40&md5=c08d54cc6561203ae435b7628ed62cfe,Conference paper,Final,,Scopus,2-s2.0-84962048152
Masruroh S.U.; Rizqy Vitalaya N.A.; Sukmana H.T.; Subchi I.; Khairani D.; Durachman Y.,"Masruroh, Siti Ummi (56512230300); Rizqy Vitalaya, Nanda Alivia (57852675900); Sukmana, Husni Teja (23398706200); Subchi, Imam (57208281141); Khairani, Dewi (24779480600); Durachman, Yusuf (49663289500)",56512230300; 57852675900; 23398706200; 57208281141; 24779480600; 49663289500,Evaluation of Usability and Accessibility of Mobile Application for People with Disability: Systematic Literature Review,2022,"2022 International Conference on Science and Technology, ICOSTECH 2022",,,,,,,15,10.1109/ICOSTECH54296.2022.9829134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136321584&doi=10.1109%2fICOSTECH54296.2022.9829134&partnerID=40&md5=61d504012d9333c66042573cf1a64970,Conference paper,Final,,Scopus,2-s2.0-85136321584
,,,"11th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2020",2020,"11th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2020",,,,,,362,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099346065&partnerID=40&md5=8da1d55f48abb9e0c3bcea87685bbfce,Conference review,Final,,Scopus,2-s2.0-85099346065
